# ALPHA   7.662791022400000e+00  M   2.583809336800000e+00  N   1.000000000000000E-01 LAMBDA   2.323473767700000e+00 a   4.213610552411421e+00 b   8.901367847114210e-01
 -1.000000000000000E+01   2.466386117300000E-08   3.425988302200000E-04   4.212186097600000E+00   4.225028083100000E-01
 -9.943770035366001E+00   2.759802036000000E-08   3.624135372800000E-04   4.212103653600000E+00   4.225026530700000E-01
 -9.887540070732001E+00   3.088112519000000E-08   3.833741549200000E-04   4.212016432300000E+00   4.225024888700000E-01
 -9.831310106098000E+00   3.455467642300000E-08   4.055469491500000E-04   4.211924156800000E+00   4.225023151700000E-01
 -9.775080141460000E+00   3.866511056900000E-08   4.290020173000000E-04   4.211826534300000E+00   4.225021314100000E-01
 -9.721358676840000E+00   4.304795745900000E-08   4.526766365200000E-04   4.211727987100000E+00   4.225019459100000E-01
 -9.667637212240001E+00   4.792741762000000E-08   4.776576052500000E-04   4.211623990600000E+00   4.225017501500000E-01
 -9.613915747620000E+00   5.335975609800000E-08   5.040169993000000E-04   4.211514242900000E+00   4.225015435400000E-01
 -9.560194283000000E+00   5.940761116700000E-08   5.318308699700000E-04   4.211398425500000E+00   4.225013254900000E-01
 -9.508831313760000E+00   6.582964479700000E-08   5.598576239700000E-04   4.211281707100000E+00   4.225011057200000E-01
 -9.457468344520001E+00   7.294557620600000E-08   5.893611532000000E-04   4.211158823100000E+00   4.225008743100000E-01
 -9.406105375280001E+00   8.083036107300000E-08   6.204192583000000E-04   4.211029446900000E+00   4.225006306500000E-01
 -9.354742406020000E+00   8.956704800900000E-08   6.531138369600000E-04   4.210893234700000E+00   4.225003740800000E-01
 -9.305568899580001E+00   9.881434229700000E-08   6.860276261400000E-04   4.210756089500000E+00   4.225001157100000E-01
 -9.256395393120000E+00   1.090158254300000E-07   7.205998439400000E-04   4.210612012700000E+00   4.224998442400000E-01
 -9.207221886659999E+00   1.202699122200000E-07   7.569140338600000E-04   4.210460653000000E+00   4.224995590000000E-01
 -9.158048380200000E+00   1.326851602700000E-07   7.950579455299999E-04   4.210301641000000E+00   4.224992593000000E-01
 -9.110903018360000E+00   1.457893502400000E-07   8.334319972200000E-04   4.210141643000000E+00   4.224989576800000E-01
 -9.063757656500000E+00   1.601868564200000E-07   8.736578386600000E-04   4.209973895400000E+00   4.224986413900000E-01
 -9.016612294660000E+00   1.760052395900000E-07   9.158248019800000E-04   4.209798021400000E+00   4.224983097200000E-01
 -8.969466932820001E+00   1.933846285600000E-07   9.600265256400000E-04   4.209613626100000E+00   4.224979619000000E-01
 -8.924202485980000E+00   2.116821602600000E-07   1.004470454500000E-03   4.209428184600000E+00   4.224976120500000E-01
 -8.878938039160001E+00   2.317095688800000E-07   1.050971407500000E-03   4.209234121900000E+00   4.224972458500000E-01
 -8.833673592340000E+00   2.536302561900000E-07   1.099624552000000E-03   4.209031035600000E+00   4.224968625300000E-01
 -8.788409145500001E+00   2.776230369000000E-07   1.150529454300000E-03   4.208818504100000E+00   4.224964613000000E-01
 -8.744892913099999E+00   3.028245931100000E-07   1.201688168900000E-03   4.208604865700000E+00   4.224960578800000E-01
 -8.701376680679999E+00   3.303116844900000E-07   1.255121032200000E-03   4.208381680000000E+00   4.224956363300000E-01
 -8.657860448259999E+00   3.602913520500000E-07   1.310929084000000E-03   4.208148518200000E+00   4.224951958300000E-01
 -8.614344215839999E+00   3.929893584000000E-07   1.369217848500000E-03   4.207904932100000E+00   4.224947355100000E-01
 -8.572456699060000E+00   4.272604809700000E-07   1.427770914100000E-03   4.207660179700000E+00   4.224942728600000E-01
 -8.530569182280001E+00   4.645169268600000E-07   1.488827091400000E-03   4.207404898400000E+00   4.224937901700000E-01
 -8.488681665500000E+00   5.050183756300000E-07   1.552493318500000E-03   4.207138632700000E+00   4.224932865700000E-01
 -8.446794148720000E+00   5.490470445800000E-07   1.618881095600000E-03   4.206860907100000E+00   4.224927611400000E-01
 -8.406427381260000E+00   5.951010032000000E-07   1.685542375100000E-03   4.206581957400000E+00   4.224922332300000E-01
 -8.366060613820000E+00   6.450129065200000E-07   1.754947490700000E-03   4.206291441100000E+00   4.224916832500000E-01
 -8.325693846360000E+00   6.991053724000000E-07   1.827209292500000E-03   4.205988875100000E+00   4.224911102800000E-01
 -8.285327078920000E+00   7.577279236400000E-07   1.902445263900000E-03   4.205673756300000E+00   4.224905133400000E-01
 -8.246383232820001E+00   8.189316402599999E-07   1.977962437800000E-03   4.205357357600000E+00   4.224899137600000E-01
 -8.207439386739999E+00   8.850713929400000E-07   2.056475827100000E-03   4.205028297000000E+00   4.224892899600000E-01
 -8.168495540660000E+00   9.565444327600000E-07   2.138104196600000E-03   4.204686063900000E+00   4.224886409600000E-01
 -8.129551694560000E+00   1.033779876200000E-06   2.222971008600000E-03   4.204330126800000E+00   4.224879657000000E-01
 -8.091941782620001E+00   1.114273974100000E-06   2.308125233100000E-03   4.203972854700000E+00   4.224872876600000E-01
 -8.054331870700000E+00   1.201024516700000E-06   2.396539590300000E-03   4.203601767300000E+00   4.224865831100000E-01
 -8.016721958760000E+00   1.294516570200000E-06   2.488338751900000E-03   4.203216325700000E+00   4.224858510100000E-01
 -7.979112046800000E+00   1.395272660900000E-06   2.583652145000000E-03   4.202815969500000E+00   4.224850902500000E-01
 -7.942754612600000E+00   1.500107158100000E-06   2.679258320500000E-03   4.202414220800000E+00   4.224843265200000E-01
 -7.906397178200000E+00   1.612802234100000E-06   2.778400003700000E-03   4.201997443500000E+00   4.224835338600000E-01
